id,Filename,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N1,N2,Len,Voc,Vol,Dif,Eff,AllocOps,DeallocOps,DerefUse,UniqueDerefUse,DerefSet,UniqueDerefSet,AgingRelatedBugs
15,storage/innobase/dict/dict0mem.c,7.00,25.14,7.00,76.14,215.14,81.07,2.00,2.00,2.00,1.00,36.00,7.00,24.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,344.36,76.14,194.14,59.00,102.14,81.07,4.00,18.00,0.00,0.00,135.14,149.14,26.00,17.00,106.14,0.00,0.00,0.00,0.00,0.00,4.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.42,14.00,14.00,15.00,8.00,107.00,189.18,559.43,460.43,1019.86,296.18,5596.32,128.96,115670.79,0.00,0.00,15.00,6.00,61.14,6.00,0
16,storage/innobase/dyn/dyn0dyn.c,9.00,21.00,3.00,12.00,25.00,12.00,6.00,6.00,6.00,1.00,32.00,9.00,21.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,12.00,21.00,5.00,11.00,12.00,1.00,4.00,0.00,0.00,33.00,39.00,3.00,9.00,27.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.57,6.00,6.00,6.00,1.00,12.00,22.00,60.00,52.00,112.00,34.00,569.00,14.00,7966.00,0.00,0.00,5.00,2.00,9.00,4.00,0
17,storage/innobase/eval/eval0eval.c,11.00,34.00,4.00,194.79,553.14,113.00,7.00,7.00,7.00,1.00,46.79,11.00,34.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.93,194.79,547.14,155.57,294.57,113.00,1.00,6.00,0.00,0.00,335.14,436.14,110.57,20.00,305.57,0.00,0.00,0.00,0.00,0.00,17.00,17.00,19.00,0.00,0.00,0.00,0.00,0.00,0.21,112.00,112.00,118.00,26.00,222.00,434.14,1272.07,1040.07,2312.14,656.14,12607.57,265.00,248957.00,0.00,0.00,43.00,29.00,5.00,2.00,0
18,storage/innobase/eval/eval0proc.c,12.00,23.00,6.00,87.00,140.00,57.00,5.00,5.00,5.00,2.00,40.00,12.00,23.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.00,87.00,136.00,29.00,69.00,57.00,1.00,4.00,0.00,0.00,84.00,109.00,17.00,17.00,75.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.42,29.00,29.00,29.00,15.00,65.00,107.00,331.00,269.00,600.00,172.00,2961.00,79.00,48056.00,0.00,0.00,38.00,14.00,16.00,7.00,0
19,storage/innobase/fil/fil0fil.c,12.00,39.29,9.00,926.25,2783.11,1064.11,13.75,13.75,14.00,3.00,57.75,11.00,37.75,9.00,0.00,0.00,0.00,0.00,0.00,0.00,66.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4586.18,893.25,2566.11,587.54,1631.57,1027.11,205.00,79.00,0.00,0.00,1964.00,2648.54,372.50,104.75,2171.29,0.00,0.00,0.00,0.00,0.00,81.00,81.00,81.00,0.00,0.00,0.00,0.00,0.00,0.40,900.07,900.07,941.07,214.00,924.54,2185.04,6017.89,5178.54,11196.43,3109.57,66902.11,1021.82,1590407.29,0.00,0.00,587.25,155.25,135.00,69.00,0
20,storage/innobase/fsp/fsp0fsp.c,9.00,31.00,8.25,782.25,2439.71,1047.50,7.00,7.00,7.00,2.00,45.25,9.00,31.00,8.25,0.00,0.00,0.00,0.00,0.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.46,781.25,2311.79,696.00,1194.29,1047.50,29.64,102.29,0.00,0.00,1329.14,1712.64,331.00,86.00,1295.64,0.00,0.00,0.00,0.00,0.00,75.00,75.00,75.00,0.00,0.00,0.00,0.00,0.00,0.45,483.50,483.50,507.50,155.50,876.29,2051.71,5743.04,5138.43,10881.46,2928.00,63711.36,965.04,1651055.46,0.00,5.00,56.00,19.00,6.00,3.00,0
21,storage/innobase/fut/fut0fut.c,0.00,0.00,0.00,3.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,3.00,0.00,0.00,0.00,7.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
22,storage/innobase/fut/fut0lst.c,8.00,33.00,8.00,102.00,336.00,114.00,4.00,4.00,4.00,1.00,46.00,8.00,33.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,518.00,102.00,331.00,102.00,128.00,114.00,1.00,5.00,0.00,0.00,201.00,235.00,59.00,46.00,130.00,0.00,0.00,0.00,0.00,0.00,13.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.34,40.00,40.00,40.00,10.00,132.00,317.00,898.00,845.00,1743.00,449.00,9635.00,169.00,177141.00,0.00,0.00,3.00,2.00,0.00,0.00,0
23,storage/innobase/ha/ha0ha.c,9.00,28.00,8.00,91.00,228.00,90.00,11.00,11.00,11.00,1.00,41.00,8.00,24.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,380.00,85.00,194.00,56.00,97.00,85.00,28.00,18.00,0.00,0.00,151.00,216.00,29.00,6.00,181.00,0.00,0.00,0.00,0.00,0.00,19.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.44,87.00,87.00,88.00,12.00,115.00,182.00,519.00,443.00,962.00,297.00,5142.00,136.00,110979.00,0.00,0.00,46.00,25.00,20.00,11.00,0
24,storage/innobase/ha/hash0hash.c,2.00,12.00,3.00,33.00,87.00,45.00,3.00,3.00,3.00,1.00,16.00,2.00,11.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,33.00,79.00,33.00,29.00,43.00,3.00,7.00,0.00,0.00,49.00,66.00,15.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,7.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.54,21.00,21.00,21.00,7.00,61.00,82.00,161.00,152.00,313.00,143.00,1456.00,52.00,15541.00,0.00,0.00,9.00,6.00,11.00,3.00,0
25,storage/innobase/handler/ha_innodb.cc,9.00,28.57,10.57,1654.25,5042.14,2454.25,7.00,6.00,7.79,1.64,46.29,8.89,27.75,10.57,0.00,0.00,0.00,0.00,0.00,0.00,154.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8814.96,1635.11,4799.04,1493.04,3061.89,2416.68,195.64,93.46,0.00,0.00,2954.64,3798.68,1088.89,19.75,2690.04,0.00,0.00,0.00,0.00,0.00,41.00,41.00,42.00,0.00,0.00,0.00,0.00,0.00,0.50,1039.82,963.04,1167.96,316.07,1994.54,4003.43,10641.50,8118.71,18760.21,5997.96,112645.04,1858.07,2905295.07,1.00,0.00,241.75,78.46,107.57,28.79,1
26,storage/innobase/handler/ha_innodb.h,0.00,2.00,0.00,28.61,148.18,90.04,1.00,1.00,1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.82,28.61,142.18,132.18,12.00,89.04,1.00,6.00,0.00,0.00,114.18,125.18,117.18,0.00,8.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.63,9.00,9.00,9.00,9.00,52.00,31.00,59.00,32.00,91.00,83.00,305.00,23.00,938.00,0.00,0.00,0.00,0.00,0.00,0.00,1
27,storage/innobase/ibuf/ibuf0ibuf.c,13.00,37.00,9.82,803.86,2104.79,841.79,8.00,8.00,8.00,2.00,57.00,13.00,34.00,9.18,0.00,0.00,0.00,0.00,0.00,0.00,54.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3595.36,790.86,1831.89,485.32,1061.86,816.61,180.36,135.71,0.00,0.00,1189.00,1523.36,265.07,75.36,1182.93,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.44,432.36,432.36,456.36,123.89,668.61,1666.21,4507.89,3876.39,8384.29,2334.82,50206.00,724.61,1186289.29,0.00,0.00,137.18,63.18,35.18,19.18,0
28,storage/innobase/include/btr0btr.h,0.00,0.00,0.00,40.00,204.00,304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,451.00,37.00,161.00,161.00,0.00,287.00,26.00,31.00,0.00,0.00,32.00,32.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
29,storage/innobase/include/btr0cur.h,0.00,0.00,0.00,52.00,271.00,547.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,706.21,52.00,237.00,235.00,0.00,547.21,0.00,34.00,0.00,0.00,58.00,58.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
30,storage/innobase/include/btr0pcur.h,0.00,0.00,0.00,22.00,225.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520.00,22.00,201.00,200.00,0.00,371.00,0.00,24.00,0.00,0.00,53.00,53.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
31,storage/innobase/include/btr0sea.h,0.00,0.00,0.00,34.96,97.86,159.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.46,34.96,66.86,64.86,0.00,152.57,10.00,24.00,0.00,0.00,26.93,26.93,26.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
32,storage/innobase/include/btr0types.h,0.00,0.00,0.00,5.00,9.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,5.00,3.00,3.00,0.00,7.00,0.00,6.00,0.00,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
33,storage/innobase/include/buf0buf.h,0.00,0.00,0.00,72.00,377.00,794.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1074.00,68.00,313.00,311.00,0.00,770.00,37.00,51.00,0.00,0.00,154.00,154.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0
34,storage/innobase/include/buf0flu.h,0.00,0.00,0.00,13.18,47.89,76.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.50,13.00,35.00,35.00,0.00,75.18,2.14,12.36,0.00,0.00,9.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
35,storage/innobase/include/buf0lru.h,0.00,0.00,0.00,22.18,44.54,86.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.43,20.18,27.54,27.54,0.00,80.89,12.00,13.00,0.00,0.00,10.18,10.18,10.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
